i	x_i	y_i
0	0.000000	0.000000
1	0.400000	0.359478
2	0.800000	0.611291
3	1.200000	0.733168
4	1.600000	0.725839
5	2.000000	0.609520
6	2.400000	0.417965
7	2.800000	0.191348
8	3.200000	-0.030780
9	3.600000	-0.215398
10	4.000000	-0.340053
11	4.400000	-0.394708
12	4.800000	-0.381424
13	5.200000	-0.312261
14	5.600000	-0.205970
15	6.000000	-0.084158
16	6.400000	0.032405
17	6.800000	0.126820
18	7.200000	0.188042
19	7.600000	0.211696
20	8.000000	0.199748
21	8.400000	0.159275
22	8.800000	0.100632
23	9.200000	0.035399
24	9.600000	-0.025558
25	10.000000	-0.073625
